index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit,income_quintile
5572,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,65,12174,1,0,0,0,,2,17,2,2
5573,F,N,N,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,28,56,1,0,0,0,Laborers,2,34,1,1
5574,M,Y,Y,1,315000,Working,Secondary / secondary special,Separated,House / apartment,44,29,1,0,0,0,Managers,2,15,2,1
5575,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,58,12174,1,0,0,0,,2,57,2,3
5576,M,Y,Y,1,427500,Working,Higher education,Married,House / apartment,41,11,1,0,0,0,Managers,3,14,2,1
5577,M,Y,Y,0,382500,Working,Secondary / secondary special,Married,House / apartment,59,46,1,0,0,0,Security staff,2,20,2,1
5578,F,N,Y,0,123750,Working,Secondary / secondary special,Married,House / apartment,45,19,1,0,0,0,Cleaning staff,2,51,2,3
5579,F,Y,Y,0,315000,Commercial associate,Secondary / secondary special,Married,House / apartment,42,183,1,0,0,1,Core staff,2,3,1,1
5580,F,N,Y,0,202500,Commercial associate,Higher education,Single / not married,House / apartment,38,69,1,0,0,0,,1,15,2,2
5581,F,N,Y,1,76500,Working,Secondary / secondary special,Married,House / apartment,43,293,1,1,0,0,Medicine staff,3,31,1,4
5582,F,Y,N,1,387000,Working,Higher education,Married,House / apartment,36,85,1,0,0,0,Managers,3,16,0,1
5583,M,Y,N,0,184500,Working,Secondary / secondary special,Married,Municipal apartment,49,40,1,0,0,0,Laborers,2,34,2,2
5584,F,N,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,53,41,1,1,0,0,,2,33,2,4
5585,F,N,Y,1,108000,Working,Secondary / secondary special,Married,House / apartment,35,44,1,0,1,0,Sales staff,3,25,1,4
5586,M,N,Y,1,157500,State servant,Incomplete higher,Married,House / apartment,24,58,1,0,0,0,Core staff,3,32,2,2
5587,F,N,N,0,202500,Pensioner,Higher education,Single / not married,House / apartment,63,12174,1,0,0,0,,1,13,0,2
5588,M,Y,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,35,53,1,0,0,0,Laborers,4,27,2,4
5589,F,Y,Y,1,355500,Commercial associate,Secondary / secondary special,Married,House / apartment,41,9,1,0,0,0,Core staff,3,13,0,1
5590,M,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,50,70,1,1,1,0,Low-skill Laborers,2,40,1,4
5591,M,Y,N,1,90000,Working,Secondary / secondary special,Married,With parents,35,25,1,1,1,0,Core staff,3,31,2,4
5592,M,N,Y,2,225000,Commercial associate,Higher education,Married,House / apartment,34,29,1,1,1,0,,4,37,2,1
5593,F,N,N,0,135000,Working,Higher education,Single / not married,House / apartment,37,10,1,1,0,0,Cooking staff,1,23,2,3
5594,M,Y,N,2,225000,Working,Secondary / secondary special,Married,House / apartment,38,87,1,1,0,0,Managers,4,1,1,1
5595,F,Y,N,0,405000,Working,Secondary / secondary special,Married,House / apartment,35,153,1,1,1,0,Drivers,2,21,2,1
5596,M,Y,N,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,31,25,1,1,1,0,Managers,1,9,2,2
5597,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,54,37,1,0,0,0,,2,38,2,2
5598,F,N,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,52,46,1,1,1,0,Managers,3,57,0,1
5599,M,N,Y,0,126000,Working,Secondary / secondary special,Married,House / apartment,28,17,1,1,1,0,Laborers,2,57,2,3
5600,M,Y,Y,0,135000,Commercial associate,Incomplete higher,Civil marriage,House / apartment,26,35,1,0,0,0,Laborers,2,7,1,3
5601,M,N,N,0,157500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32,9,1,0,0,0,Security staff,2,24,2,2
5602,F,N,Y,0,126000,Working,Secondary / secondary special,Single / not married,House / apartment,46,96,1,0,1,0,Cooking staff,1,48,2,3
5603,F,N,Y,0,166500,Working,Incomplete higher,Married,House / apartment,29,134,1,0,0,1,Laborers,2,6,2,2
5604,F,N,N,0,450000,Commercial associate,Higher education,Married,House / apartment,37,64,1,0,1,0,Sales staff,2,9,2,1
5605,F,N,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,50,71,1,0,0,0,Laborers,2,36,2,4
5606,F,N,N,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,50,60,1,0,0,0,Managers,2,6,0,1
5607,F,N,Y,0,216000,Working,Secondary / secondary special,Married,House / apartment,51,405,1,1,1,1,Laborers,2,35,2,2
5608,F,Y,Y,2,306000,Working,Secondary / secondary special,Married,House / apartment,35,51,1,0,0,0,,4,26,2,1
5609,F,N,N,0,202500,Working,Higher education,Married,Municipal apartment,48,356,1,1,0,0,Security staff,2,30,2,2
5610,F,N,N,0,180000,Working,Higher education,Civil marriage,With parents,27,35,1,1,0,0,Sales staff,2,25,1,2
5611,M,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,46,8,1,0,0,0,Laborers,2,1,1,1
5612,M,Y,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,51,12174,1,0,1,0,,2,36,0,4
5613,M,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,38,19,1,0,0,1,Laborers,2,2,1,1
5614,F,N,Y,0,360000,Working,Secondary / secondary special,Married,House / apartment,42,186,1,1,1,0,Laborers,2,59,1,1
5615,F,N,N,0,54000,Pensioner,Secondary / secondary special,Married,House / apartment,55,12174,1,0,1,0,,2,2,1,4
5616,F,N,Y,0,135000,State servant,Higher education,Single / not married,Municipal apartment,29,64,1,0,0,0,Core staff,1,9,1,3
5617,F,N,N,0,76500,Working,Secondary / secondary special,Married,House / apartment,47,44,1,1,0,0,,2,13,1,4
5618,F,N,Y,0,108000,Working,Secondary / secondary special,Separated,House / apartment,44,59,1,0,0,0,Laborers,1,13,2,4
5619,M,Y,Y,0,117000,Working,Secondary / secondary special,Married,House / apartment,52,260,1,1,1,0,,2,12,2,4
5620,F,N,Y,1,112500,State servant,Incomplete higher,Married,House / apartment,39,152,1,0,0,0,Accountants,3,42,2,4
5621,F,Y,Y,0,157500,Commercial associate,Higher education,Civil marriage,House / apartment,42,33,1,1,1,0,Managers,2,22,2,2
5622,F,N,N,0,99000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,59,12174,1,0,0,0,,1,47,1,4
5623,F,Y,Y,0,103500,Pensioner,Secondary / secondary special,Married,House / apartment,59,12174,1,0,1,0,,2,20,2,4
5624,M,N,Y,1,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,38,9,1,0,1,0,Drivers,3,30,2,2
5625,F,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,54,177,1,0,0,0,Sales staff,2,9,1,2
5626,F,N,Y,3,135000,Working,Secondary / secondary special,Married,House / apartment,40,51,1,0,0,0,Laborers,5,13,2,3
5627,M,N,Y,1,225000,Working,Higher education,Married,House / apartment,28,36,1,0,1,0,Sales staff,3,23,2,1
5628,F,N,Y,1,166500,Commercial associate,Higher education,Single / not married,House / apartment,34,86,1,1,1,0,Core staff,2,19,2,2
5629,F,Y,N,2,135000,Commercial associate,Secondary / secondary special,Separated,House / apartment,29,56,1,0,0,0,Security staff,3,21,1,3
5630,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,54,152,1,0,1,0,,2,37,1,1
5631,M,Y,Y,0,261000,Working,Incomplete higher,Married,House / apartment,43,50,1,0,1,0,Managers,2,59,1,1
5632,F,N,Y,1,99000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,28,25,1,0,0,0,Laborers,3,49,2,4
5633,F,N,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,36,55,1,0,0,0,,3,50,2,2
5634,M,Y,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,27,73,1,0,0,0,Drivers,2,7,2,2
5635,F,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,45,72,1,0,0,1,Sales staff,2,51,1,4
5636,F,N,N,0,270000,State servant,Higher education,Married,House / apartment,36,78,1,1,1,0,Core staff,2,24,0,1
5637,M,Y,Y,2,247500,Working,Secondary / secondary special,Married,House / apartment,47,17,1,0,0,0,Laborers,4,11,2,1
5638,M,Y,N,0,112500,Working,Higher education,Single / not married,With parents,27,3,1,0,0,0,High skill tech staff,1,10,2,4
5639,F,N,Y,2,202500,State servant,Secondary / secondary special,Married,Co-op apartment,38,59,1,0,0,0,High skill tech staff,4,58,2,2
5640,F,N,Y,1,360000,Working,Secondary / secondary special,Married,House / apartment,28,45,1,0,0,0,Managers,3,35,0,1
5641,M,N,N,0,540000,Commercial associate,Higher education,Married,House / apartment,54,23,1,0,0,0,Managers,2,6,2,1
5642,F,Y,N,0,247500,State servant,Higher education,Single / not married,House / apartment,46,139,1,1,0,0,Managers,1,10,2,1
5643,F,N,Y,0,157500,Working,Incomplete higher,Single / not married,House / apartment,26,5,1,1,1,0,Medicine staff,1,39,2,2
5644,F,N,Y,1,135000,Working,Secondary / secondary special,Civil marriage,House / apartment,44,182,1,0,0,0,Medicine staff,3,5,0,3
5645,F,N,N,0,216000,Working,Secondary / secondary special,Married,House / apartment,42,14,1,0,0,0,High skill tech staff,2,12,2,2
5646,F,Y,N,0,112500,Commercial associate,Higher education,Married,House / apartment,29,21,1,0,0,0,Core staff,2,27,2,4
5647,F,N,N,1,67500,Working,Secondary / secondary special,Married,House / apartment,44,29,1,0,0,0,,3,12,2,4
5648,F,N,Y,1,315000,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,51,61,1,0,1,0,Cleaning staff,2,17,2,1
5649,F,N,Y,0,157500,Working,Secondary / secondary special,Civil marriage,House / apartment,38,84,1,0,0,0,Sales staff,2,43,0,2
5650,F,N,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,56,22,1,0,0,0,Sales staff,2,5,0,2
5651,F,N,Y,0,76500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,60,12174,1,0,1,0,,1,19,2,4
5652,F,N,Y,0,121500,Commercial associate,Secondary / secondary special,Married,House / apartment,48,109,1,0,0,0,Core staff,2,33,1,3
5653,F,N,Y,0,112500,Working,Higher education,Single / not married,House / apartment,39,105,1,0,0,0,,1,59,1,4
5654,M,Y,N,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,32,38,1,1,0,1,Drivers,2,16,2,1
5655,F,N,Y,0,72000,Pensioner,Lower secondary,Married,House / apartment,63,12174,1,0,0,0,,2,53,2,4
5656,F,N,N,0,135000,Pensioner,Higher education,Single / not married,House / apartment,65,12174,1,0,0,0,,1,7,1,3
5657,F,N,Y,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,43,55,1,0,0,0,Cleaning staff,2,8,2,4
5658,F,N,N,0,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,59,12174,1,0,1,0,,1,53,2,4
5659,F,Y,Y,0,225000,Pensioner,Higher education,Married,House / apartment,62,12174,1,0,0,0,,2,38,2,1
5660,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,40,57,1,0,0,0,Laborers,2,0,1,3
5661,F,N,N,0,67500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,52,5,1,0,0,0,Laborers,2,13,2,4
5662,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,56,12174,1,0,1,0,,2,34,0,2
5663,F,N,Y,0,202500,Pensioner,Secondary / secondary special,Separated,House / apartment,64,12174,1,0,1,0,,1,44,2,2
5664,M,Y,Y,0,180000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,31,110,1,0,0,0,Sales staff,2,26,2,2
5665,F,N,Y,0,315000,Working,Secondary / secondary special,Married,House / apartment,61,493,1,0,0,0,Medicine staff,2,32,2,1
5666,F,Y,Y,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,38,75,1,0,0,0,Medicine staff,2,37,2,4
5667,F,Y,Y,0,162000,Pensioner,Higher education,Married,House / apartment,65,12174,1,0,1,0,,2,48,2,2
5668,F,N,Y,1,67500,Working,Secondary / secondary special,Separated,House / apartment,30,69,1,1,1,0,Accountants,2,19,1,4
5669,F,Y,Y,0,180000,Working,Higher education,Married,House / apartment,56,236,1,0,1,0,Laborers,2,22,2,2
5670,F,Y,N,0,562500,Working,Higher education,Married,House / apartment,40,94,1,1,0,0,Managers,2,28,1,1
5671,F,Y,Y,0,315000,Commercial associate,Incomplete higher,Single / not married,House / apartment,25,46,1,0,1,0,Core staff,1,38,2,1
5672,F,N,Y,0,135000,Pensioner,Higher education,Married,House / apartment,62,12174,1,0,0,0,,2,6,2,3
5673,F,N,Y,0,360000,Working,Secondary / secondary special,Widow,House / apartment,50,261,1,0,0,0,Core staff,1,28,2,1
5674,F,Y,Y,0,117000,Working,Secondary / secondary special,Married,House / apartment,51,7,1,0,0,0,Sales staff,2,19,2,4
5675,F,N,Y,1,135000,Commercial associate,Secondary / secondary special,Married,With parents,30,80,1,0,0,0,Laborers,3,49,0,3
5676,M,Y,Y,0,157500,Working,Higher education,Married,House / apartment,51,17,1,0,0,0,Security staff,2,16,0,2
5677,F,N,N,2,202500,Working,Secondary / secondary special,Married,House / apartment,36,90,1,0,0,0,Sales staff,4,7,2,2
5678,M,N,N,0,270000,Working,Secondary / secondary special,Single / not married,House / apartment,41,44,1,0,0,0,Drivers,1,18,2,1
5679,F,Y,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,38,57,1,0,1,0,Sales staff,3,16,2,1
5680,M,Y,N,2,112500,Working,Secondary / secondary special,Married,House / apartment,35,7,1,0,1,0,Laborers,4,48,1,4
5681,F,N,Y,4,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,47,247,1,0,0,0,Core staff,6,31,1,2
5682,F,Y,N,1,225000,Commercial associate,Higher education,Civil marriage,With parents,27,22,1,0,1,1,Accountants,3,36,0,1
5683,M,Y,Y,2,180000,Working,Higher education,Married,House / apartment,36,82,1,0,0,0,Managers,4,26,2,2
5684,F,N,Y,0,49500,Pensioner,Secondary / secondary special,Married,House / apartment,61,12174,1,0,0,0,,2,47,2,4
5685,F,N,Y,0,135000,Working,Higher education,Married,House / apartment,36,54,1,0,0,0,Laborers,2,1,0,3
5686,F,Y,Y,0,121500,Pensioner,Secondary / secondary special,Married,House / apartment,64,12174,1,0,1,0,,2,49,0,3
5687,F,Y,N,1,184500,Working,Higher education,Separated,With parents,36,148,1,1,0,0,Core staff,2,57,2,2
5688,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,57,12174,1,0,0,0,,2,1,1,2
5689,F,Y,Y,0,225000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,59,12174,1,0,0,0,,1,7,1,1
5690,F,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,43,29,1,1,1,0,Managers,2,6,0,1
5691,M,N,N,2,112500,Working,Higher education,Married,House / apartment,30,148,1,0,0,0,Low-skill Laborers,4,12,1,4
5692,M,Y,Y,1,144000,Working,Secondary / secondary special,Married,House / apartment,23,35,1,0,0,1,Drivers,3,2,1,3
5693,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,50,151,1,1,1,0,Accountants,2,49,2,2
5694,F,N,Y,0,202500,Pensioner,Secondary / secondary special,Widow,House / apartment,57,12174,1,0,0,0,,1,27,2,2
5695,F,N,Y,0,252000,Commercial associate,Higher education,Married,House / apartment,47,107,1,0,1,1,Accountants,2,38,2,1
5696,F,N,Y,0,72000,Pensioner,Secondary / secondary special,Married,House / apartment,66,12174,1,0,1,0,,2,50,2,4
5697,F,Y,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,36,25,1,1,0,0,Core staff,2,13,0,4
5698,M,Y,N,0,157500,Working,Higher education,Married,House / apartment,56,75,1,0,1,0,Laborers,2,45,2,2
5699,F,N,Y,0,423000,Commercial associate,Secondary / secondary special,Separated,House / apartment,36,105,1,0,0,0,Private service staff,1,28,1,1
5700,F,Y,Y,0,382500,Commercial associate,Higher education,Married,House / apartment,54,214,1,0,1,0,Managers,2,3,1,1
5701,F,N,N,0,157500,Working,Higher education,Married,House / apartment,31,11,1,0,0,0,Managers,2,4,1,2
5702,M,Y,Y,0,315000,Working,Secondary / secondary special,Married,House / apartment,38,30,1,0,0,0,Managers,2,29,2,1
5703,F,N,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,28,75,1,0,1,0,,2,48,2,2
5704,F,N,Y,0,315000,Commercial associate,Secondary / secondary special,Married,House / apartment,39,80,1,0,0,0,,2,24,2,1
5705,F,N,Y,2,135000,Pensioner,Secondary / secondary special,Married,House / apartment,60,12174,1,0,0,0,,4,20,2,3
5706,M,N,N,0,171000,Commercial associate,Higher education,Married,House / apartment,27,15,1,0,1,0,Security staff,2,9,2,2
5707,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,54,12174,1,0,0,0,,2,54,2,2
5708,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,66,12174,1,0,0,0,,1,19,2,3
5709,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,57,12174,1,0,1,0,,2,31,0,3
5710,F,Y,Y,0,225000,Pensioner,Higher education,Married,House / apartment,62,12174,1,0,0,0,,2,38,2,1
5711,M,N,Y,0,81000,Commercial associate,Higher education,Single / not married,House / apartment,27,64,1,0,1,0,Laborers,1,2,1,4
5712,F,N,N,1,675000,Commercial associate,Higher education,Married,House / apartment,29,34,1,1,0,0,Sales staff,3,7,2,1
5713,M,N,Y,0,270000,Pensioner,Higher education,Married,House / apartment,41,12174,1,0,0,0,,2,43,2,1
5714,F,N,Y,0,157500,Working,Secondary / secondary special,Civil marriage,House / apartment,32,168,1,1,0,0,Waiters/barmen staff,2,4,0,2
5715,F,N,Y,1,270000,Commercial associate,Higher education,Married,House / apartment,40,7,1,0,0,1,Core staff,3,8,2,1
5716,M,N,Y,1,81000,Working,Secondary / secondary special,Married,House / apartment,43,122,1,0,1,0,Laborers,3,41,2,4
5717,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Separated,Municipal apartment,60,12174,1,0,0,0,,1,13,1,2
5718,F,Y,N,1,315000,Commercial associate,Higher education,Married,House / apartment,39,83,1,0,0,0,Accountants,3,21,2,1
5719,F,Y,Y,3,405000,Working,Secondary / secondary special,Married,House / apartment,38,133,1,0,0,0,Accountants,5,36,2,1
5720,F,Y,Y,2,121500,Working,Incomplete higher,Married,House / apartment,31,3,1,1,1,0,Core staff,4,36,2,3
5721,M,Y,Y,0,369000,Working,Secondary / secondary special,Married,House / apartment,46,41,1,0,0,0,Drivers,2,26,2,1
5722,M,N,Y,1,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,41,134,1,0,0,1,,3,49,2,2
5723,F,N,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,52,160,1,1,1,0,Managers,2,35,1,3
5724,F,N,Y,1,135000,Commercial associate,Higher education,Married,House / apartment,26,97,1,1,0,1,Core staff,3,50,0,3
5725,M,Y,Y,0,157500,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,27,71,1,1,0,0,Laborers,1,42,0,2
5726,M,N,N,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,28,43,1,0,0,0,Laborers,2,47,2,1
5727,M,Y,Y,0,315000,Working,Higher education,Single / not married,House / apartment,28,18,1,0,1,0,High skill tech staff,1,5,1,1
5728,M,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,59,146,1,1,0,0,Low-skill Laborers,2,5,2,2
5729,F,N,Y,2,180000,State servant,Higher education,Married,House / apartment,30,119,1,0,0,0,Core staff,4,54,2,2
5730,M,N,N,3,126000,Working,Secondary / secondary special,Civil marriage,With parents,33,47,1,0,0,1,,5,45,2,3
5731,F,Y,Y,1,135000,Working,Higher education,Married,House / apartment,33,24,1,0,0,0,,3,22,2,3
5732,M,N,N,1,315000,Working,Secondary / secondary special,Married,House / apartment,48,58,1,0,0,0,Laborers,3,5,0,1
5733,F,N,Y,0,130500,Working,Secondary / secondary special,Married,House / apartment,37,182,1,0,0,0,Core staff,2,31,2,3
5734,F,Y,Y,0,247500,Working,Secondary / secondary special,Single / not married,With parents,32,9,1,0,0,0,Sales staff,1,25,2,1
5735,M,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,45,135,1,0,0,0,Laborers,2,5,2,3
5736,F,N,Y,2,157500,Commercial associate,Higher education,Married,House / apartment,33,40,1,0,0,0,High skill tech staff,4,18,2,2
5737,F,N,N,0,135000,State servant,Secondary / secondary special,Married,House / apartment,57,126,1,0,0,0,High skill tech staff,2,58,2,3
5738,M,Y,Y,0,135000,Working,Higher education,Civil marriage,House / apartment,52,22,1,1,1,0,Laborers,2,29,1,3
5739,F,Y,N,0,144000,Working,Secondary / secondary special,Widow,House / apartment,39,44,1,0,0,0,HR staff,1,11,2,3
5740,M,N,N,0,202500,Working,Incomplete higher,Single / not married,House / apartment,43,145,1,1,1,1,,1,58,0,2
5741,F,N,Y,0,126000,Pensioner,Secondary / secondary special,Married,Rented apartment,59,12174,1,0,0,0,,2,40,2,3
5742,M,Y,Y,0,157500,Working,Secondary / secondary special,Civil marriage,House / apartment,51,59,1,0,0,0,,2,30,2,2
5743,M,Y,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,31,28,1,0,1,0,Drivers,3,48,2,1
5744,F,N,Y,0,247500,Working,Secondary / secondary special,Widow,House / apartment,49,160,1,0,0,0,,1,55,2,1
5745,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Separated,House / apartment,46,89,1,0,0,0,Sales staff,1,28,2,2
5746,M,Y,Y,0,108000,Working,Higher education,Married,House / apartment,57,17,1,0,0,0,Laborers,2,9,2,4
5747,M,N,Y,0,135000,Pensioner,Higher education,Married,House / apartment,63,12174,1,0,0,0,,2,8,2,3
5748,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,Office apartment,40,271,1,1,1,0,Drivers,2,25,2,3
5749,F,N,N,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,46,220,1,0,0,0,,1,17,1,3
5750,M,Y,Y,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,26,27,1,0,0,0,Drivers,1,42,1,3
5751,F,N,Y,0,216000,Pensioner,Secondary / secondary special,Married,House / apartment,63,12174,1,0,0,0,,2,5,2,2
5752,F,Y,N,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,62,12174,1,0,1,1,,2,30,2,3
5753,F,N,N,1,72000,Working,Higher education,Married,House / apartment,34,12,1,0,0,0,High skill tech staff,3,11,2,4
5754,M,N,N,0,225000,State servant,Secondary / secondary special,Married,House / apartment,41,7,1,1,1,0,Drivers,2,52,2,1
5755,M,N,N,0,157500,State servant,Higher education,Married,House / apartment,32,129,1,0,0,0,Core staff,2,14,1,2
5756,M,Y,N,1,112500,Working,Secondary / secondary special,Married,House / apartment,53,73,1,0,0,0,Laborers,3,31,2,4
5757,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,55,123,1,0,0,0,Laborers,2,35,2,2
5758,F,Y,Y,0,180000,Commercial associate,Higher education,Single / not married,House / apartment,41,238,1,0,0,0,Core staff,1,40,2,2
5759,F,N,Y,1,180000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32,98,1,0,0,0,Realty agents,3,39,2,2
5760,F,N,N,0,67500,State servant,Secondary / secondary special,Married,Municipal apartment,46,100,1,1,0,0,Core staff,2,29,2,4
5761,F,N,Y,0,90000,Working,Secondary / secondary special,Separated,House / apartment,50,118,1,1,1,0,,1,21,2,4
5762,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,56,12174,1,0,1,0,,2,9,2,2
5763,F,N,Y,1,90000,Working,Higher education,Single / not married,House / apartment,44,72,1,0,0,0,Core staff,2,29,1,4
5764,F,N,Y,0,103500,Commercial associate,Secondary / secondary special,Married,House / apartment,50,21,1,1,1,0,Laborers,2,28,0,4
5765,F,N,Y,0,225000,Commercial associate,Higher education,Married,House / apartment,26,8,1,0,0,0,,2,13,2,1
5766,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,60,12174,1,0,0,0,,2,1,1,2
5767,M,Y,Y,0,256500,Commercial associate,Higher education,Married,House / apartment,58,55,1,0,0,1,Core staff,2,18,2,1
5768,F,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,28,92,1,0,0,1,Core staff,3,4,1,4
5769,M,N,N,0,225000,Working,Secondary / secondary special,Civil marriage,House / apartment,59,141,1,1,1,1,Laborers,2,55,0,1
5770,F,N,Y,1,185400,Working,Higher education,Married,House / apartment,40,13,1,0,0,1,Core staff,3,15,2,2
5771,F,N,Y,0,99000,Commercial associate,Secondary / secondary special,Widow,House / apartment,59,41,1,0,0,0,Security staff,1,10,2,4
5772,F,N,N,2,139500,Working,Incomplete higher,Married,With parents,36,99,1,1,1,0,Core staff,4,38,2,3
5773,M,Y,Y,0,180000,Commercial associate,Higher education,Married,House / apartment,27,34,1,0,0,0,Laborers,2,15,2,2
5774,F,N,Y,0,112500,Working,Secondary / secondary special,Single / not married,House / apartment,24,39,1,1,0,0,Sales staff,1,4,2,4
5775,F,N,Y,0,270000,Pensioner,Higher education,Married,House / apartment,61,12174,1,0,0,0,,2,18,2,1
5776,F,N,Y,0,360000,State servant,Secondary / secondary special,Separated,House / apartment,32,93,1,0,0,0,Medicine staff,1,16,2,1
5777,M,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,59,12174,1,0,1,0,,2,3,1,3
5778,M,Y,Y,0,247500,Working,Secondary / secondary special,Separated,House / apartment,55,89,1,0,0,0,Drivers,1,17,2,1
5779,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,39,152,1,1,1,0,Laborers,2,9,2,2
5780,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,66,12174,1,0,0,0,,1,24,2,2
5781,F,N,Y,0,180000,State servant,Secondary / secondary special,Civil marriage,House / apartment,44,245,1,1,0,0,Core staff,2,10,2,2
5782,M,N,N,0,135000,Commercial associate,Higher education,Married,House / apartment,36,97,1,1,0,0,Managers,2,24,0,3
5783,F,N,N,0,67500,Working,Secondary / secondary special,Married,With parents,44,94,1,1,1,0,Cooking staff,2,31,2,4
5784,F,Y,N,0,31500,Commercial associate,Secondary / secondary special,Married,House / apartment,48,257,1,1,1,0,Cleaning staff,2,34,2,4
5785,F,N,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,35,119,1,0,1,0,Sales staff,4,17,2,3
5786,M,N,N,0,247500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,41,73,1,0,0,0,Laborers,1,30,2,1
5787,F,N,N,0,117000,Working,Secondary / secondary special,Married,House / apartment,56,77,1,0,0,0,,2,11,2,4
5788,M,N,Y,0,117000,Working,Secondary / secondary special,Civil marriage,House / apartment,48,171,1,0,0,0,Laborers,2,33,2,4
5789,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,52,260,1,1,0,0,Laborers,2,20,1,3
5790,F,N,Y,0,126000,Commercial associate,Higher education,Civil marriage,With parents,30,35,1,1,1,1,Laborers,2,11,0,3
5791,F,Y,N,0,112500,Working,Higher education,Married,Municipal apartment,42,52,1,0,0,0,,2,11,0,4
5792,M,Y,Y,0,270000,Working,Secondary / secondary special,Single / not married,House / apartment,37,51,1,0,0,0,Laborers,1,8,1,1
5793,M,Y,N,0,112500,Pensioner,Higher education,Married,House / apartment,46,12174,1,0,0,0,,2,41,1,4
